                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.06897,                0.03051,                    nan,                    nan,                    nan,                  8e-05,                  8e-05,                  8e-05
                      2,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.07271,                0.03498,                    nan,                    nan,                    nan,             0.00017822,             0.00017822,             0.00017822
                      3,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.08589,                0.04124,                    nan,                    nan,                    nan,             0.00027446,             0.00027446,             0.00027446
                      4,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.09106,                0.04257,                    nan,                    nan,                    nan,             0.00036871,             0.00036871,             0.00036871
                      5,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.11121,                 0.0473,                    nan,                    nan,                    nan,             0.00046099,             0.00046099,             0.00046099
                      6,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.10966,                0.04745,                    nan,                    nan,                    nan,             0.00055129,             0.00055129,             0.00055129
                      7,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.11166,                0.04742,                    nan,                    nan,                    nan,             0.00063961,             0.00063961,             0.00063961
                      8,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12168,                0.05102,                    nan,                    nan,                    nan,             0.00072595,             0.00072595,             0.00072595
                      9,                    nan,                    nan,                    nan,                0.00328,                0.95455,                   0.13,                0.05589,                    nan,                    nan,                    nan,              0.0008103,              0.0008103,              0.0008103
                     10,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12781,                0.05569,                    nan,                    nan,                    nan,             0.00089268,             0.00089268,             0.00089268
                     11,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12833,                0.05618,                    nan,                    nan,                    nan,             0.00097308,             0.00097308,             0.00097308
                     12,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12914,                0.05537,                    nan,                    nan,                    nan,              0.0010515,              0.0010515,              0.0010515
                     13,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12967,                0.05504,                    nan,                    nan,                    nan,              0.0011279,              0.0011279,              0.0011279
                     14,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13342,                0.05755,                    nan,                    nan,                    nan,              0.0012024,              0.0012024,              0.0012024
                     15,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12906,                0.05188,                    nan,                    nan,                    nan,              0.0012749,              0.0012749,              0.0012749
                     16,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12885,                0.05173,                    nan,                    nan,                    nan,              0.0013454,              0.0013454,              0.0013454
                     17,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12291,                0.05002,                    nan,                    nan,                    nan,              0.0014139,              0.0014139,              0.0014139
                     18,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12253,                0.04991,                    nan,                    nan,                    nan,              0.0014804,              0.0014804,              0.0014804
                     19,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13106,                0.05178,                    nan,                    nan,                    nan,               0.001545,               0.001545,               0.001545
                     20,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13289,                0.05165,                    nan,                    nan,                    nan,              0.0016076,              0.0016076,              0.0016076
                     21,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13452,                0.05347,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     22,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13332,                0.05534,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     23,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13478,                0.05481,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     24,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.14189,                0.05497,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     25,                    nan,                    nan,                    nan,                0.00328,                0.95455,                 0.1463,                0.05542,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     26,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.14243,                0.05526,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     27,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.14281,                0.05608,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     28,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.14552,                0.05655,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15085,                0.05867,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     30,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15161,                0.05842,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     31,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.14905,                0.05561,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     32,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15851,                0.06023,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     33,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15728,                0.05924,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     34,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.14889,                0.05671,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     35,                    nan,                    nan,                    nan,                0.00323,                0.93939,                0.15752,                0.05842,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     36,                    nan,                    nan,                    nan,                0.00328,                0.95455,                 0.1554,                0.05776,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     37,                    nan,                    nan,                    nan,                0.00323,                0.93939,                0.15481,                0.05704,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     38,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15342,                0.05717,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     39,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15892,                0.05994,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16575,                0.06204,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16235,                0.06096,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17187,                0.06365,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17411,                0.06432,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17041,                0.06421,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16676,                0.06268,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16996,                0.06388,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17525,                0.06662,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17085,                 0.0647,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     49,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17064,                0.06421,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16912,                0.06294,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     51,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.17328,                0.06528,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     52,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16179,                 0.0592,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     53,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15771,                 0.0579,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     54,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15911,                0.05867,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     55,                    nan,                    nan,                    nan,                0.00323,                0.93939,                0.15728,                0.05793,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     56,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15443,                0.05771,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     57,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15785,                0.05847,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     58,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16614,                0.06133,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     59,                    nan,                    nan,                    nan,                0.00328,                0.95455,                 0.1641,                0.06059,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     60,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16255,                0.06002,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     61,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.16174,                0.06011,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     62,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15761,                0.05602,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     63,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15643,                 0.0558,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     64,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13247,                 0.0529,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     65,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15918,                 0.0562,                    nan,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     66,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.15976,                0.05889,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     67,                    nan,                    nan,                    nan,                0.00323,                0.93939,                0.16379,                0.06146,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     68,                    nan,                    nan,                    nan,                0.00323,                0.93939,                0.16209,                0.06089,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
