                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                 0.0551,                0.02479,                    nan,                    nan,                    nan,                  8e-05,                  8e-05,                  8e-05
                      2,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.06603,                 0.0285,                    nan,                    nan,                    nan,             0.00017406,             0.00017406,             0.00017406
                      3,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.07787,                0.03045,                    nan,                    nan,                    nan,             0.00026152,             0.00026152,             0.00026152
                      4,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.09128,                0.03511,                    nan,                    nan,                    nan,             0.00034238,             0.00034238,             0.00034238
                      5,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                 0.1018,                0.03991,                    nan,                    nan,                    nan,             0.00041664,             0.00041664,             0.00041664
                      6,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.11111,                0.04207,                    nan,                    nan,                    nan,              0.0004843,              0.0004843,              0.0004843
                      7,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.11887,                0.04788,                    nan,                    nan,                    nan,             0.00054536,             0.00054536,             0.00054536
                      8,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                 0.1176,                0.04721,                    nan,                    nan,                    nan,             0.00059982,             0.00059982,             0.00059982
                      9,                    nan,                    nan,                    nan,                0.00333,                 0.9697,                0.12183,                0.04833,                    nan,                    nan,                    nan,             0.00064768,             0.00064768,             0.00064768
                     10,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12928,                0.05173,                    nan,                    nan,                    nan,             0.00068894,             0.00068894,             0.00068894
                     11,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12915,                0.05302,                    nan,                    nan,                    nan,              0.0007236,              0.0007236,              0.0007236
                     12,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13287,                0.05317,                    nan,                    nan,                    nan,             0.00075166,             0.00075166,             0.00075166
                     13,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13054,                0.05304,                    nan,                    nan,                    nan,             0.00077312,             0.00077312,             0.00077312
                     14,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13159,                0.05382,                    nan,                    nan,                    nan,             0.00078798,             0.00078798,             0.00078798
                     15,                    nan,                    nan,                    nan,                0.00328,                0.95455,                 0.1298,                0.05426,                    nan,                    nan,                    nan,             0.00079624,             0.00079624,             0.00079624
                     16,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13055,                0.05014,                    nan,                    nan,                    nan,              0.0007979,              0.0007979,              0.0007979
                     17,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12845,                0.05113,                    nan,                    nan,                    nan,             0.00079296,             0.00079296,             0.00079296
                     18,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12869,                0.05095,                    nan,                    nan,                    nan,             0.00078142,             0.00078142,             0.00078142
                     19,                    nan,                    nan,                    nan,                0.00328,                0.95455,                 0.1293,                0.05008,                    nan,                    nan,                    nan,             0.00076328,             0.00076328,             0.00076328
                     20,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.13276,                 0.0517,                    nan,                    nan,                    nan,             0.00073854,             0.00073854,             0.00073854
                     21,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12289,                0.04927,                    nan,                    nan,                    nan,                0.00068,                0.00068,                0.00068
                     22,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12791,                0.05065,                    nan,                    nan,                    nan,                0.00068,                0.00068,                0.00068
                     23,                    nan,                    nan,                    nan,                0.00328,                0.95455,                0.12265,                0.04877,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
